================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 4 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36277.83

开始迭代优化...

代数 1250 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 765
代数 1260 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 775
代数 1270 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 785
代数 1280 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 795
代数 1290 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 805
代数 1300 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 815
代数 1310 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 825
代数 1320 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 835
代数 1330 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 845
代数 1340 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 855
代数 1350 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 865
代数 1360 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 875
代数 1370 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 885
代数 1380 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 895
代数 1390 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 905
代数 1400 | 最优 Makespan: 34482.68 | 改进: +1.77% | 停滞: 6
代数 1410 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 16
代数 1420 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 26
代数 1430 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 36
代数 1440 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 46
代数 1450 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 56
代数 1460 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 66
代数 1470 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 76
代数 1480 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 86
代数 1490 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 96
代数 1500 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 106
代数 1510 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 116
代数 1520 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 126
代数 1530 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 136
代数 1540 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 146
代数 1550 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 156
代数 1560 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 166
代数 1570 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 176
代数 1580 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 186
代数 1590 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 196
代数 1600 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 206
代数 1610 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 216
代数 1620 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 226
代数 1630 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 236
代数 1640 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 246
代数 1650 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 256
代数 1660 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 266
代数 1670 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 276
代数 1680 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 286
代数 1690 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 296
代数 1700 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 306
代数 1710 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 316
代数 1720 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 326
代数 1730 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 336
代数 1740 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 346
代数 1750 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 356
代数 1760 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 366
代数 1770 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 376
代数 1780 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 386
代数 1790 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 396
代数 1800 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 406
代数 1810 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 416
代数 1820 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 426
代数 1830 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 436
代数 1840 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 446
代数 1850 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 456
代数 1860 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 466
代数 1870 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 476
代数 1880 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 486
代数 1890 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 496
代数 1900 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 506
代数 1910 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 516
代数 1920 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 526
代数 1930 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 536
代数 1940 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 546
代数 1950 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 556
代数 1960 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 566
代数 1970 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 576
代数 1980 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 586
代数 1990 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 596
代数 2000 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 606
代数 2010 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 616
代数 2020 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 626
代数 2030 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 636
代数 2040 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 646
代数 2050 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 656
代数 2060 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 666
代数 2070 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 676
