Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-GA,4,261194.8000,0.8462,439367,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,5,237642.8000,0.7933,458826,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,6,291131.7000,0.7933,503264,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,7,283243.7000,0.7933,422205,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,8,263994.0000,0.7933,554872,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,9,304123.7000,0.7933,406794,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-GA,10,289739.7000,0.7933,443395,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,1,274074.8000,0.7466,570873,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,2,352813.5000,0.7051,833943,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,3,335643.5000,0.7466,591177,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,4,346753.5000,0.7466,624663,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,5,330571.7000,0.6680,1094595,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,6,264506.8000,0.7466,996057,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,7,324075.7000,0.7466,607196,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,8,321755.7000,0.7933,881978,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,9,329078.5000,0.7051,853579,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
GA-ACO,10,359803.7000,0.7466,600699,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,1,167024.4000,0.0000,300048,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,2,167034.0000,0.0000,300119,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,3,161059.3000,0.0000,300158,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,4,162535.8000,0.0000,300317,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,5,164855.8000,0.0000,300743,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,6,166449.2000,0.0000,300400,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,7,164843.5000,0.0000,300277,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,8,167539.0000,0.0000,300127,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,9,162132.4000,0.0000,300158,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
ALNS,10,161607.8000,0.0000,300206,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_02
