================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 3 次
实验时间: 2025-12-21 20:06:32

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 71964.44
初始种群平均解: Makespan = 93253.29

Gen 2950 | 最优: 57140.18 | 平均: 81172.98 | 改进: 0.00 | 停滞: 2228/300000 | 耗时: 1.2分钟
Gen 3000 | 最优: 57140.18 | 平均: 82027.20 | 改进: 0.00 | 停滞: 2278/300000 | 耗时: 1.2分钟
Gen 3050 | 最优: 57140.18 | 平均: 84144.81 | 改进: 0.00 | 停滞: 2328/300000 | 耗时: 1.2分钟
Gen 3100 | 最优: 57140.18 | 平均: 82497.69 | 改进: 0.00 | 停滞: 2378/300000 | 耗时: 1.2分钟
Gen 3150 | 最优: 57140.18 | 平均: 82801.72 | 改进: 0.00 | 停滞: 2428/300000 | 耗时: 1.3分钟
Gen 3200 | 最优: 57140.18 | 平均: 82390.00 | 改进: 0.00 | 停滞: 2478/300000 | 耗时: 1.3分钟
Gen 3250 | 最优: 57140.18 | 平均: 82848.75 | 改进: 0.00 | 停滞: 2528/300000 | 耗时: 1.3分钟
Gen 3300 | 最优: 57140.18 | 平均: 83364.87 | 改进: 0.00 | 停滞: 2578/300000 | 耗时: 1.3分钟
Gen 3350 | 最优: 57140.18 | 平均: 82543.72 | 改进: 0.00 | 停滞: 2628/300000 | 耗时: 1.3分钟
Gen 3400 | 最优: 57140.18 | 平均: 82568.93 | 改进: 0.00 | 停滞: 2678/300000 | 耗时: 1.4分钟
Gen 3450 | 最优: 57140.18 | 平均: 83120.60 | 改进: 0.00 | 停滞: 2728/300000 | 耗时: 1.4分钟
Gen 3500 | 最优: 57140.18 | 平均: 80700.23 | 改进: 0.00 | 停滞: 2778/300000 | 耗时: 1.4分钟
Gen 3550 | 最优: 57140.18 | 平均: 81634.93 | 改进: 0.00 | 停滞: 2828/300000 | 耗时: 1.4分钟
Gen 3600 | 最优: 57140.18 | 平均: 83212.28 | 改进: 0.00 | 停滞: 2878/300000 | 耗时: 1.4分钟
Gen 3650 | 最优: 57140.18 | 平均: 82079.05 | 改进: 0.00 | 停滞: 2928/300000 | 耗时: 1.4分钟
Gen 3700 | 最优: 57140.18 | 平均: 82045.85 | 改进: 0.00 | 停滞: 2978/300000 | 耗时: 1.5分钟
Gen 3750 | 最优: 57140.18 | 平均: 81488.44 | 改进: 0.00 | 停滞: 3028/300000 | 耗时: 1.5分钟
Gen 3800 | 最优: 57140.18 | 平均: 83205.70 | 改进: 0.00 | 停滞: 3078/300000 | 耗时: 1.5分钟
Gen 3850 | 最优: 57140.18 | 平均: 82919.82 | 改进: 0.00 | 停滞: 3128/300000 | 耗时: 1.5分钟
Gen 3900 | 最优: 57140.18 | 平均: 82607.38 | 改进: 0.00 | 停滞: 3178/300000 | 耗时: 1.5分钟
Gen 3950 | 最优: 57140.18 | 平均: 83030.40 | 改进: 0.00 | 停滞: 3228/300000 | 耗时: 1.6分钟
Gen 4000 | 最优: 57140.18 | 平均: 82693.00 | 改进: 0.00 | 停滞: 3278/300000 | 耗时: 1.6分钟
Gen 4050 | 最优: 57140.18 | 平均: 82063.58 | 改进: 0.00 | 停滞: 3328/300000 | 耗时: 1.6分钟
Gen 4100 | 最优: 57140.18 | 平均: 82441.13 | 改进: 0.00 | 停滞: 3378/300000 | 耗时: 1.6分钟
Gen 4150 | 最优: 57140.18 | 平均: 81696.97 | 改进: 0.00 | 停滞: 3428/300000 | 耗时: 1.6分钟
Gen 4200 | 最优: 57140.18 | 平均: 82798.73 | 改进: 0.00 | 停滞: 3478/300000 | 耗时: 1.7分钟
Gen 4250 | 最优: 57140.18 | 平均: 83508.33 | 改进: 0.00 | 停滞: 3528/300000 | 耗时: 1.7分钟
Gen 4300 | 最优: 57140.18 | 平均: 82889.05 | 改进: 0.00 | 停滞: 3578/300000 | 耗时: 1.7分钟
Gen 4350 | 最优: 57140.18 | 平均: 82072.26 | 改进: 0.00 | 停滞: 3628/300000 | 耗时: 1.7分钟
Gen 4400 | 最优: 57140.18 | 平均: 82079.69 | 改进: 0.00 | 停滞: 3678/300000 | 耗时: 1.7分钟
Gen 4450 | 最优: 57140.18 | 平均: 82916.05 | 改进: 0.00 | 停滞: 3728/300000 | 耗时: 1.8分钟
Gen 4500 | 最优: 57140.18 | 平均: 81057.79 | 改进: 0.00 | 停滞: 3778/300000 | 耗时: 1.8分钟
Gen 4550 | 最优: 57140.18 | 平均: 82390.96 | 改进: 0.00 | 停滞: 3828/300000 | 耗时: 1.8分钟
Gen 4600 | 最优: 57140.18 | 平均: 81605.79 | 改进: 0.00 | 停滞: 3878/300000 | 耗时: 1.8分钟
Gen 4650 | 最优: 57140.18 | 平均: 82374.94 | 改进: 0.00 | 停滞: 3928/300000 | 耗时: 1.8分钟
Gen 4700 | 最优: 57140.18 | 平均: 82189.31 | 改进: 0.00 | 停滞: 3978/300000 | 耗时: 1.9分钟
Gen 4750 | 最优: 57140.18 | 平均: 83042.60 | 改进: 0.00 | 停滞: 4028/300000 | 耗时: 1.9分钟
