TrialNo,RunID,Cmax,AvgUtilization,TimeMs
24,4,504985.0000,0.7885,300030
24,5,497197.0000,0.8378,300089
24,6,500973.0000,0.8378,300099
24,7,498141.0000,0.8378,300032
24,8,493525.5000,0.8378,300021
24,10,496961.0000,0.8378,300031
24,9,505457.0000,0.8378,300080
25,2,496326.7500,0.8378,300030
25,1,501929.2500,0.8378,300076
25,3,503333.0000,0.8378,300046
25,5,512823.0000,0.8378,300017
25,4,514425.0000,0.8378,300029
25,6,505975.5000,0.8378,300103
25,7,501929.2500,0.8378,300043
25,8,494459.2500,0.8378,300050
25,9,488856.7500,0.8378,300042
25,10,503485.5000,0.8378,300022
26,1,504277.0000,0.7885,300022
26,2,523094.2500,0.8378,300063
26,3,516558.0000,0.8378,300044
26,4,523865.0000,0.8378,300029
26,5,516558.0000,0.8378,300043
26,6,493657.0000,0.8378,300017
26,7,524339.2500,0.8378,300022
26,8,506401.0000,0.8378,300036
26,9,489479.2500,0.8378,300016
26,10,506598.0000,0.8378,300019
27,1,508154.2500,0.8378,300055
27,2,508465.5000,0.8378,300014
27,3,528821.0000,0.8378,300044
27,4,516869.2500,0.8378,300017
27,5,501929.2500,0.8378,300042
27,6,491346.7500,0.8378,300039
27,7,485121.7500,0.8378,300037
27,8,511578.0000,0.8378,300047
27,9,509710.5000,0.8378,300054
27,10,508525.0000,0.8378,300023
