================================================================================
                          实验结果报告
================================================================================
实验配置: ALNS - 自适应大邻域搜索
算例名称: 2M20J-02
实验次数: 第 5 次
实验时间: 2026-02-06 12:05:36

【算法参数】
  最大迭代次数: 1000000000
  种群规模: 0
  变异率: 0.0
  交叉率: 0.0

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 113350.50
运行时间: 300021 ms (300.02 秒)
迭代次数: 54328

【收敛曲线数据】
迭代次数	Cmax
38501	113350.50
38551	113350.50
38601	113350.50
38651	113350.50
38701	113350.50
38751	113350.50
38801	113350.50
38851	113350.50
38901	113350.50
38951	113350.50
39001	113350.50
39051	113350.50
39101	113350.50
39151	113350.50
39201	113350.50
39251	113350.50
39301	113350.50
39351	113350.50
39401	113350.50
39451	113350.50
39501	113350.50
39551	113350.50
39601	113350.50
39651	113350.50
39701	113350.50
39751	113350.50
39801	113350.50
39851	113350.50
39901	113350.50
39951	113350.50
40001	113350.50
40051	113350.50
40101	113350.50
40151	113350.50
40201	113350.50
40251	113350.50
40301	113350.50
40351	113350.50
40401	113350.50
40451	113350.50
40501	113350.50
40551	113350.50
40601	113350.50
40651	113350.50
40701	113350.50
40751	113350.50
40801	113350.50
40851	113350.50
40901	113350.50
40951	113350.50
41001	113350.50
41051	113350.50
41101	113350.50
41151	113350.50
41201	113350.50
41251	113350.50
41301	113350.50
41351	113350.50
41401	113350.50
41451	113350.50
41501	113350.50
41551	113350.50
41601	113350.50
41651	113350.50
41701	113350.50
41751	113350.50
41801	113350.50
41851	113350.50
41901	113350.50
41951	113350.50
42001	113350.50
42051	113350.50
42101	113350.50
42151	113350.50
42201	113350.50
42251	113350.50
42301	113350.50
42351	113350.50
42401	113350.50
42451	113350.50
42501	113350.50
42551	113350.50
42601	113350.50
42651	113350.50
42701	113350.50
42751	113350.50
42801	113350.50
42851	113350.50
42901	113350.50
42951	113350.50
43001	113350.50
43051	113350.50
43101	113350.50
43151	113350.50
43201	113350.50
43251	113350.50
43301	113350.50
43351	113350.50
43401	113350.50
43451	113350.50
43501	113350.50
43551	113350.50
43601	113350.50
43651	113350.50
43701	113350.50
43751	113350.50
43801	113350.50
43851	113350.50
43901	113350.50
43951	113350.50
44001	113350.50
44051	113350.50
44101	113350.50
44151	113350.50
44201	113350.50
44251	113350.50
44301	113350.50
44351	113350.50
44401	113350.50
44451	113350.50
44501	113350.50
44551	113350.50
44601	113350.50
44651	113350.50
44701	113350.50
44751	113350.50
44801	113350.50
44851	113350.50
44901	113350.50
44951	113350.50
45001	113350.50
45051	113350.50
45101	113350.50
45151	113350.50
45201	113350.50
45251	113350.50
45301	113350.50
45351	113350.50
45401	113350.50
45451	113350.50
45501	113350.50
45551	113350.50
45601	113350.50
45651	113350.50
45701	113350.50
45751	113350.50
45801	113350.50
45851	113350.50
45901	113350.50
45951	113350.50
46001	113350.50
46051	113350.50
46101	113350.50
46151	113350.50
46201	113350.50
46251	113350.50
46301	113350.50
46351	113350.50
46401	113350.50
46451	113350.50
46501	113350.50
46551	113350.50
46601	113350.50
46651	113350.50
46701	113350.50
46751	113350.50
46801	113350.50
46851	113350.50
46901	113350.50
46951	113350.50
47001	113350.50
47051	113350.50
47101	113350.50
47151	113350.50
47201	113350.50
47251	113350.50
47301	113350.50
47351	113350.50
47401	113350.50
47451	113350.50
47501	113350.50
47551	113350.50
47601	113350.50
47651	113350.50
47701	113350.50
47751	113350.50
47801	113350.50
47851	113350.50
47901	113350.50
47951	113350.50
48001	113350.50
48051	113350.50
48101	113350.50
48151	113350.50
48201	113350.50
48251	113350.50
48301	113350.50
48351	113350.50
48401	113350.50
48451	113350.50
48501	113350.50
48551	113350.50
48601	113350.50
48651	113350.50
48701	113350.50
48751	113350.50
48801	113350.50
48851	113350.50
48901	113350.50
48951	113350.50
49001	113350.50
49051	113350.50
49101	113350.50
49151	113350.50
49201	113350.50
