迭代次数,Cmax
1836,230784.6000
1837,230784.6000
1838,230784.6000
1839,230784.6000
1840,230784.6000
1841,230784.6000
1842,230784.6000
1843,230784.6000
1844,230784.6000
1845,230784.6000
1846,230784.6000
1847,230784.6000
1848,230784.6000
1849,230784.6000
1850,230784.6000
1851,230784.6000
1852,230784.6000
1853,230784.6000
1854,230784.6000
1855,230784.6000
1856,230784.6000
1857,230784.6000
1858,230784.6000
1859,230784.6000
1860,230784.6000
1861,230784.6000
1862,230784.6000
1863,230784.6000
1864,230784.6000
1865,230784.6000
1866,230784.6000
1867,230784.6000
1868,230784.6000
1869,230784.6000
1870,230784.6000
1871,230784.6000
1872,230784.6000
1873,230784.6000
1874,230784.6000
1875,230784.6000
1876,230784.6000
1877,230784.6000
1878,230784.6000
1879,230784.6000
1880,230784.6000
1881,230784.6000
1882,230784.6000
1883,230784.6000
1884,230784.6000
1885,230784.6000
1886,230784.6000
1887,230784.6000
1888,230784.6000
1889,230784.6000
1890,230784.6000
1891,230784.6000
1892,230784.6000
1893,230784.6000
1894,230784.6000
1895,230784.6000
1896,230784.6000
1897,230784.6000
1898,230784.6000
1899,230784.6000
1900,230784.6000
1901,230784.6000
1902,230784.6000
1903,230784.6000
1904,230784.6000
1905,230784.6000
1906,230784.6000
1907,230784.6000
1908,230784.6000
1909,230784.6000
1910,230784.6000
1911,230784.6000
1912,230784.6000
1913,230784.6000
1914,230784.6000
1915,230784.6000
1916,230784.6000
1917,230784.6000
1918,230784.6000
1919,230784.6000
1920,230784.6000
1921,230784.6000
1922,230784.6000
1923,230784.6000
1924,230784.6000
1925,230784.6000
1926,230784.6000
1927,230784.6000
1928,230784.6000
1929,230784.6000
1930,230784.6000
1931,230784.6000
1932,230784.6000
1933,230784.6000
1934,230784.6000
1935,230784.6000
1936,230784.6000
1937,230784.6000
1938,230784.6000
1939,230784.6000
1940,230784.6000
1941,230784.6000
1942,230784.6000
1943,230784.6000
1944,230784.6000
1945,230784.6000
1946,230784.6000
1947,230784.6000
1948,230784.6000
1949,230784.6000
1950,230784.6000
1951,230784.6000
1952,230784.6000
1953,230784.6000
1954,230784.6000
1955,230784.6000
1956,230784.6000
1957,230784.6000
1958,230784.6000
1959,230784.6000
1960,230784.6000
1961,230784.6000
1962,230784.6000
1963,230784.6000
1964,230784.6000
1965,230784.6000
1966,230784.6000
1967,230784.6000
1968,230784.6000
1969,230784.6000
1970,230784.6000
1971,230784.6000
1972,230784.6000
1973,230784.6000
1974,230784.6000
1975,230784.6000
1976,230784.6000
1977,230784.6000
1978,230784.6000
1979,230784.6000
1980,230784.6000
1981,230784.6000
1982,230784.6000
1983,230784.6000
1984,230784.6000
1985,230784.6000
1986,230784.6000
1987,230784.6000
1988,230784.6000
1989,230784.6000
1990,230784.6000
1991,230784.6000
1992,230784.6000
1993,230784.6000
1994,230784.6000
1995,230784.6000
1996,230784.6000
1997,230784.6000
1998,230784.6000
1999,230784.6000
2000,230784.6000
2001,230784.6000
2002,230784.6000
2003,230784.6000
2004,230784.6000
2005,230784.6000
2006,230784.6000
2007,230784.6000
2008,230784.6000
2009,230784.6000
2010,230784.6000
2011,230784.6000
2012,230784.6000
2013,230784.6000
2014,230784.6000
2015,230784.6000
2016,230784.6000
2017,230784.6000
2018,230784.6000
2019,230784.6000
2020,230784.6000
2021,230784.6000
2022,230784.6000
2023,230784.6000
2024,230784.6000
2025,230784.6000
2026,230784.6000
2027,230784.6000
2028,230784.6000
2029,230784.6000
2030,230784.6000
2031,230784.6000
2032,230784.6000
2033,230784.6000
2034,230784.6000
2035,230784.6000
2036,230784.6000
2037,230784.6000
2038,230784.6000
2039,230784.6000
2040,230784.6000
2041,230784.6000
2042,230784.6000
2043,230784.6000
2044,230784.6000
2045,230784.6000
2046,230784.6000
2047,230784.6000
2048,230784.6000
2049,230784.6000
2050,230784.6000
2051,230784.6000
2052,230784.6000
2053,230784.6000
2054,230784.6000
2055,230784.6000
2056,230784.6000
2057,230784.6000
2058,230784.6000
2059,230784.6000
2060,230784.6000
2061,230784.6000
2062,230784.6000
2063,230784.6000
2064,230784.6000
2065,230784.6000
2066,230784.6000
2067,230784.6000
2068,230784.6000
2069,230784.6000
2070,230784.6000
2071,230784.6000
2072,230784.6000
2073,230784.6000
2074,230784.6000
2075,230784.6000
2076,230784.6000
2077,230784.6000
2078,230784.6000
2079,230784.6000
2080,230784.6000
2081,230784.6000
2082,230784.6000
2083,230784.6000
2084,230784.6000
2085,230784.6000
2086,230784.6000
2087,230784.6000
2088,230784.6000
2089,230784.6000
2090,230784.6000
2091,230784.6000
2092,230784.6000
2093,230784.6000
2094,230784.6000
2095,230784.6000
2096,230784.6000
