TrialNo,TrialConfig,RunID,Cmax,AvgUtilization,TimeMs
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,8,486341.0000,0.8378,300022
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,10,531778.0000,0.7885,300034
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,9,499085.0000,0.8378,300039
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,1,509469.0000,0.8378,300043
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,2,522499.5000,0.7885,300028
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,3,535554.0000,0.7885,300053
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,4,533365.5000,0.8378,300087
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,5,496949.2500,0.8378,300055
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,6,508525.0000,0.8378,300030
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,7,522213.0000,0.8378,300076
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,8,517965.0000,0.8378,300042
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,9,505221.0000,0.8378,300097
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,10,521977.0000,0.8378,300041
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,1,514379.2500,0.8378,300054
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,2,512200.5000,0.8378,300029
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,3,505457.0000,0.8378,300018
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,4,495704.2500,0.8378,300088
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,5,505221.0000,0.8378,300081
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,6,502551.7500,0.8378,300036
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,7,490413.0000,0.8378,300042
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,8,497905.0000,0.8378,300021
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,9,514425.0000,0.8378,300113
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,10,510021.7500,0.8378,300046
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,1,528074.2500,0.8378,300045
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,2,513445.5000,0.8378,300067
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,3,529941.7500,0.8378,300022
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,4,487611.7500,0.8378,300098
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,5,494459.2500,0.8378,300059
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,6,510644.2500,0.7885,300029
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,7,498377.0000,0.8378,300095
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,8,520561.0000,0.8378,300025
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,9,522685.0000,0.8378,300077
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,10,538622.0000,0.7885,300026
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,1,504749.0000,0.8378,300028
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,2,493525.5000,0.8378,300040
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,3,515841.0000,0.8378,300012
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,4,510177.0000,0.8378,300044
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,5,514425.0000,0.8378,300012
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,6,515313.0000,0.8378,300020
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,7,503805.0000,0.8378,300032
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,8,505664.2500,0.8378,300046
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,9,508154.2500,0.8378,300013
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,10,531542.0000,0.7885,300028
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,1,515966.0000,0.8378,300036
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,2,504730.5000,0.8378,300032
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,3,522213.0000,0.8378,300043
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,4,506881.5000,0.8378,300031
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,5,498505.5000,0.8378,300027
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,6,504730.5000,0.8378,300048
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,7,509088.0000,0.8378,300045
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,8,508776.7500,0.8378,300059
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,9,531809.2500,0.8378,300011
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,10,497433.0000,0.8378,300089
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,1,510021.7500,0.8378,300049
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,2,499557.0000,0.8378,300050
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,3,506286.7500,0.8378,300011
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,4,499750.5000,0.8378,300034
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,5,511482.0000,0.8378,300060
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,6,514189.0000,0.8378,300041
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,7,505353.0000,0.8378,300030
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,8,522449.0000,0.7885,300043
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,9,499750.5000,0.8378,300011
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,10,496725.0000,0.8378,300031
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,1,515605.0000,0.8378,300038
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,2,531186.7500,0.8378,300047
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,3,518090.0000,0.7885,300039
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,4,517493.0000,0.8378,300032
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,5,505975.5000,0.8378,300054
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,6,509115.7500,0.7885,300026
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,7,523865.0000,0.8378,300036
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,8,497669.0000,0.8378,300041
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,9,525584.2500,0.8378,300040
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,10,525878.0000,0.7885,300025
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,1,524339.2500,0.8378,300037
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,2,511593.0000,0.7885,300118
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,3,515133.0000,0.8378,300027
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,4,516313.0000,0.8378,300051
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,5,487285.0000,0.8378,300029
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,6,519670.5000,0.8378,300019
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,7,511357.0000,0.8378,300048
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,8,495704.2500,0.8378,300025
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,9,485744.2500,0.8378,300010
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,10,519670.5000,0.8378,300029
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,1,537678.0000,0.7885,300013
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,2,502240.5000,0.8378,300084
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,4,533365.5000,0.8378,300047
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,3,515001.7500,0.8378,300071
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,5,498141.0000,0.8378,300038
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,7,519381.0000,0.8378,300019
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,6,532431.7500,0.8378,300056
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,8,511121.0000,0.8378,300037
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,9,495309.0000,0.8378,300015
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,10,523405.5000,0.8378,300031
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,1,517803.0000,0.8378,300090
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,2,495704.2500,0.8378,300110
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,3,493214.2500,0.8378,300059
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,5,519670.5000,0.8378,300031
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,6,490117.0000,0.8378,300072
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,4,510021.7500,0.8378,300094
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,7,510885.0000,0.8378,300123
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,8,516549.0000,0.8378,300078
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,9,508154.2500,0.8378,300152
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,10,505353.0000,0.8378,300046
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,1,504749.0000,0.8378,300013
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,2,495309.0000,0.8378,300060
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,3,514661.0000,0.8378,300034
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,4,481698.0000,0.8378,300110
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,5,511605.7500,0.8378,300022
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,6,501618.0000,0.8378,300070
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,7,510649.0000,0.8378,300071
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,8,510177.0000,0.8378,300127
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,9,516077.0000,0.8378,300098
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,10,506401.0000,0.8378,300086
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,1,502389.0000,0.8378,300067
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,2,510644.2500,0.8378,300101
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,3,517257.0000,0.7885,300049
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,4,515494.0000,0.7885,300054
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,5,506401.0000,0.8378,300071
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,6,501618.0000,0.8378,300126
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,7,504447.0000,0.8378,300037
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,8,505975.5000,0.8378,300077
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,9,507531.7500,0.8378,300026
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,10,518909.0000,0.8378,300029
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,1,508465.5000,0.8378,300014
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,2,526206.7500,0.8378,300049
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,3,527763.0000,0.8378,300101
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,4,518114.2500,0.8378,300021
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,6,522160.5000,0.8378,300038
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,5,512301.0000,0.7885,300106
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,7,496961.0000,0.8378,300052
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,9,496015.5000,0.8378,300033
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,8,524028.0000,0.8378,300071
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,10,528821.0000,0.8378,300082
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,1,500684.2500,0.8378,300087
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,2,516785.0000,0.8378,300031
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,3,519853.0000,0.8378,300053
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,5,517729.0000,0.8378,300021
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,4,494601.0000,0.8378,300046
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,6,505975.5000,0.8378,300095
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,7,530001.0000,0.8378,300082
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,8,504419.2500,0.8378,300128
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,9,486688.0000,0.8378,300061
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,10,494601.0000,0.8378,300121
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,1,517803.0000,0.8378,300089
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,2,503174.2500,0.8378,300093
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,3,498141.0000,0.8378,300027
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,4,504985.0000,0.7885,300030
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,5,497197.0000,0.8378,300089
