TrialConfig,Cmax,AvgUtilization,TimeMs
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,503805.0000,0.8378,300032
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,505664.2500,0.8378,300046
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,508154.2500,0.8378,300013
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,531542.0000,0.7885,300028
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,515966.0000,0.8378,300036
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,504730.5000,0.8378,300032
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,522213.0000,0.8378,300043
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,506881.5000,0.8378,300031
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,498505.5000,0.8378,300027
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,504730.5000,0.8378,300048
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,509088.0000,0.8378,300045
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,508776.7500,0.8378,300059
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,531809.2500,0.8378,300011
T14_pop100_pc0.8_pm0.2_N10_TS100_L30,497433.0000,0.8378,300089
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,510021.7500,0.8378,300049
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,499557.0000,0.8378,300050
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,506286.7500,0.8378,300011
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,499750.5000,0.8378,300034
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,511482.0000,0.8378,300060
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,514189.0000,0.8378,300041
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,505353.0000,0.8378,300030
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,522449.0000,0.7885,300043
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,499750.5000,0.8378,300011
T15_pop100_pc0.8_pm0.2_N10_TS150_L10,496725.0000,0.8378,300031
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,515605.0000,0.8378,300038
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,531186.7500,0.8378,300047
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,518090.0000,0.7885,300039
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,517493.0000,0.8378,300032
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,505975.5000,0.8378,300054
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,509115.7500,0.7885,300026
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,523865.0000,0.8378,300036
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,497669.0000,0.8378,300041
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,525584.2500,0.8378,300040
T16_pop100_pc0.9_pm0.1_N20_TS50_L20,525878.0000,0.7885,300025
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,524339.2500,0.8378,300037
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,511593.0000,0.7885,300118
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,515133.0000,0.8378,300027
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,516313.0000,0.8378,300051
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,487285.0000,0.8378,300029
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,519670.5000,0.8378,300019
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,511357.0000,0.8378,300048
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,495704.2500,0.8378,300025
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,485744.2500,0.8378,300010
T17_pop100_pc0.9_pm0.1_N20_TS100_L30,519670.5000,0.8378,300029
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,537678.0000,0.7885,300013
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,502240.5000,0.8378,300084
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,533365.5000,0.8378,300047
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,515001.7500,0.8378,300071
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,498141.0000,0.8378,300038
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,519381.0000,0.8378,300019
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,532431.7500,0.8378,300056
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,511121.0000,0.8378,300037
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,495309.0000,0.8378,300015
T18_pop100_pc0.9_pm0.1_N20_TS150_L10,523405.5000,0.8378,300031
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,517803.0000,0.8378,300090
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,495704.2500,0.8378,300110
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,493214.2500,0.8378,300059
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,519670.5000,0.8378,300031
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,490117.0000,0.8378,300072
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,510021.7500,0.8378,300094
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,510885.0000,0.8378,300123
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,516549.0000,0.8378,300078
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,508154.2500,0.8378,300152
T19_pop150_pc0.7_pm0.2_N20_TS50_L30,505353.0000,0.8378,300046
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,504749.0000,0.8378,300013
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,495309.0000,0.8378,300060
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,514661.0000,0.8378,300034
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,481698.0000,0.8378,300110
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,511605.7500,0.8378,300022
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,501618.0000,0.8378,300070
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,510649.0000,0.8378,300071
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,510177.0000,0.8378,300127
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,516077.0000,0.8378,300098
T20_pop150_pc0.7_pm0.2_N20_TS100_L10,506401.0000,0.8378,300086
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,502389.0000,0.8378,300067
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,510644.2500,0.8378,300101
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,517257.0000,0.7885,300049
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,515494.0000,0.7885,300054
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,506401.0000,0.8378,300071
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,501618.0000,0.8378,300126
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,504447.0000,0.8378,300037
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,505975.5000,0.8378,300077
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,507531.7500,0.8378,300026
T21_pop150_pc0.7_pm0.2_N20_TS150_L20,518909.0000,0.8378,300029
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,508465.5000,0.8378,300014
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,526206.7500,0.8378,300049
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,527763.0000,0.8378,300101
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,518114.2500,0.8378,300021
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,522160.5000,0.8378,300038
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,512301.0000,0.7885,300106
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,496961.0000,0.8378,300052
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,496015.5000,0.8378,300033
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,524028.0000,0.8378,300071
T22_pop150_pc0.8_pm0.1_N30_TS50_L30,528821.0000,0.8378,300082
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,500684.2500,0.8378,300087
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,516785.0000,0.8378,300031
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,519853.0000,0.8378,300053
T23_pop150_pc0.8_pm0.1_N30_TS100_L10,517729.0000,0.8378,300021
